Unnamed: 0,INDEX,Team_ID,Game_ID,GAME_DATE,TEAM,OPPONENT,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DATE,HOME,Game_Num,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,target,W_PCT_5,FGM_5,FGA_5,FG_PCT_5,FG3M_5,FG3A_5,FG3_PCT_5,FTM_5,FTA_5,FT_PCT_5,OREB_5,DREB_5,REB_5,AST_5,STL_5,BLK_5,TOV_5,PF_5,PTS_5,E_OFF_RATING_5,OFF_RATING_5,E_DEF_RATING_5,DEF_RATING_5,E_NET_RATING_5,NET_RATING_5,AST_PCT_5,AST_TOV_5,AST_RATIO_5,OREB_PCT_5,DREB_PCT_5,REB_PCT_5,E_TM_TOV_PCT_5,TM_TOV_PCT_5,EFG_PCT_5,TS_PCT_5,USG_PCT_5,E_USG_PCT_5,E_PACE_5,PACE_5,PACE_PER40_5,POSS_5,PIE_5,WL_5,Team_ID_5,Game_Num_5,home_next,team_opp_next,date_next
4,4,1610612737,22300117,"NOV 01, 2023",ATL,WAS,True,3.0,2.0,0.6,240,46,92,0.5,9,32,0.281,29,32,0.906,14,43,57,26,8,3,20,16,130,2023-11-01,True,5.0,115.0,118.2,107.9,109.0,7.1,9.2,0.565,1.24,17.0,0.362,0.827,0.606,18.571,19.1,0.549,0.613,1.0,0.197,112.62,110.5,92.08,110,0.542,1,0.2866,44.4,90.2,0.493,11.0,32.0,0.34,23.0,27.0,0.8572,10.4,34.6,45.0,27.6,9.6,3.8,14.4,16.8,122.8,115.24,117.62,110.76,112.26,4.5,5.340000000000001,0.6222,1.934,19.12,0.2946,0.7178,0.5118,13.9752,14.24,0.5546,0.6035999999999999,1.0,0.198,106.272,104.5,87.084,104.6,0.5394,0.6,1610612737.0,3.0,False,NOP,2023-11-04
5,5,1610612737,22300135,"NOV 04, 2023",ATL,NOP,True,4.0,2.0,0.667,240,45,93,0.484,14,41,0.341,19,24,0.792,19,33,52,28,4,6,11,16,123,2023-11-04,False,6.0,126.1,129.5,110.2,109.4,15.8,20.1,0.622,2.15,19.4,0.451,0.756,0.594,13.325,13.7,0.559,0.594,1.0,0.197,96.4,95.5,79.58,95,0.547,0,0.42,45.6,90.2,0.506,12.8,34.4,0.3738,21.4,25.2,0.852,11.8,35.2,47.0,28.4,8.0,4.8,14.2,16.2,125.4,120.0,122.36,110.58,111.84,9.42,10.52,0.6235999999999999,1.964,19.66,0.3296,0.7342,0.5402,14.407999999999998,14.68,0.5772,0.62,1.0,0.1976,104.356,102.8,85.666,102.8,0.5586,0.8,1610612737.0,4.0,False,OKC,2023-11-06
6,6,1610612737,22300155,"NOV 06, 2023",ATL,OKC,False,4.0,3.0,0.571,240,38,102,0.373,14,42,0.333,27,32,0.844,25,34,59,27,8,3,15,16,117,2023-11-06,False,7.0,110.3,109.3,118.7,118.9,-8.4,-9.5,0.711,1.8,17.1,0.403,0.76,0.556,14.14,14.0,0.441,0.504,1.0,0.201,106.1,106.5,88.75,107,0.45,1,0.5342,44.8,93.2,0.484,13.2,36.4,0.3654,22.0,25.6,0.8608,15.0,35.0,50.0,28.2,8.2,4.2,14.4,15.4,124.8,119.24,122.0,110.62,111.84,8.62,10.18,0.6324,1.924,19.14,0.3592000000000001,0.745,0.5534,14.5744,14.88,0.555,0.6010000000000001,1.0,0.1976,104.424,102.7,85.582,102.6,0.5496,0.8,1610612737.0,5.0,False,ORL,2023-11-09
7,7,1610612737,22300172,"NOV 09, 2023",ATL,ORL,True,5.0,3.0,0.625,240,41,85,0.482,15,39,0.385,23,30,0.767,8,28,36,22,13,7,17,25,120,2023-11-09,False,8.0,110.9,115.4,111.8,114.4,-0.9,1.0,0.537,1.22,15.9,0.298,0.615,0.465,16.636,17.3,0.571,0.611,1.0,0.198,107.3,104.0,86.67,104,0.517,0,0.5926,43.6,91.6,0.4794,13.2,36.8,0.3614,23.0,27.2,0.8506,14.0,34.0,48.0,26.2,7.8,5.2,14.4,17.0,123.4,117.62,120.66,112.18,113.16,5.42,7.52,0.6035999999999999,1.7919999999999998,18.1,0.3396,0.7292,0.5372,14.7144,15.080000000000002,0.5519999999999999,0.5995999999999999,1.0,0.1974,104.636,102.9,85.75,102.6,0.5294000000000001,0.8,1610612737.0,6.0,True,MIA,2023-11-11
8,8,1610612737,22300175,"NOV 11, 2023",ATL,MIA,False,5.0,4.0,0.556,240,38,87,0.437,18,46,0.391,15,18,0.833,15,33,48,23,6,6,21,19,109,2023-11-11,True,9.0,106.9,105.8,113.6,113.6,-6.6,-7.8,0.605,1.05,16.4,0.314,0.795,0.537,21.586,21.4,0.54,0.574,1.0,0.198,102.46,103.0,85.83,103,0.438,1,0.6038,41.6,91.8,0.4551999999999999,14.0,40.0,0.3462,22.6,27.2,0.8284,16.2,34.2,50.4,25.2,7.8,5.0,16.8,18.4,119.8,113.84,115.64,112.44,113.06,1.4,2.6000000000000005,0.6079999999999999,1.492,17.160000000000004,0.3656,0.7506,0.5516,16.851599999999998,17.1,0.532,0.5791999999999999,1.0,0.1982,104.976,103.9,86.58200000000001,103.8,0.4987999999999999,0.6,1610612737.0,7.0,False,DET,2023-11-14
9,9,1610612737,22300018,"NOV 14, 2023",ATL,DET,True,6.0,4.0,0.6,240,45,87,0.517,12,33,0.364,24,26,0.923,10,31,41,28,9,7,14,19,126,2023-11-14,False,10.0,123.0,121.2,116.4,116.5,6.6,4.6,0.622,2.0,19.9,0.279,0.681,0.489,13.667,13.5,0.586,0.64,1.0,0.201,102.78,103.5,86.25,104,0.52,0,0.6038,41.4,90.8,0.4586,14.6,40.2,0.3628,21.6,26.0,0.8318,15.4,31.8,47.2,25.6,8.0,5.8,15.6,19.0,119.0,115.44,116.24,114.14,114.56,1.3,1.680000000000001,0.6194,1.6439999999999997,17.740000000000002,0.349,0.7214,0.5282000000000001,15.8708,15.98,0.5394,0.5845999999999999,1.0,0.199,103.008,102.5,85.416,102.6,0.4944,0.6,1610612737.0,8.0,True,NYK,2023-11-15
10,10,1610612737,22300193,"NOV 15, 2023",ATL,NYK,False,6.0,5.0,0.545,240,41,75,0.547,12,31,0.387,20,26,0.769,6,24,30,28,11,6,15,20,114,2023-11-15,True,11.0,119.4,120.0,113.9,120.8,5.5,-0.8,0.683,1.87,21.6,0.184,0.551,0.391,15.717,15.8,0.627,0.659,1.0,0.199,98.64,95.5,79.58,95,0.512,0,0.5794,40.6,87.2,0.4711999999999999,14.2,38.2,0.372,21.8,26.4,0.8272,12.8,30.0,42.8,25.6,9.4,5.8,16.4,19.8,117.2,114.1,114.34,114.88,116.84,-0.7600000000000001,-2.499999999999999,0.6315999999999999,1.588,18.18,0.2956,0.6804,0.4876,16.3492,16.4,0.5529999999999999,0.5976,1.0,0.1994,103.456,102.5,85.416,102.6,0.4873999999999999,0.4,1610612737.0,9.0,True,PHI,2023-11-17
11,11,1610612737,22300029,"NOV 17, 2023",ATL,PHI,False,6.0,6.0,0.5,240,40,89,0.449,12,33,0.364,24,30,0.8,14,25,39,24,8,4,13,20,116,2023-11-17,True,12.0,114.6,117.2,120.8,128.6,-6.2,-11.4,0.6,1.85,17.2,0.38,0.578,0.474,12.846,13.1,0.517,0.568,1.0,0.2,102.76,98.5,82.08,99,0.434,0,0.5652000000000001,41.0,84.6,0.4864,13.8,36.4,0.3782,21.2,26.0,0.8183999999999999,10.6,28.2,38.8,25.0,9.4,6.0,16.0,20.6,117.0,114.96,115.92,115.3,118.78,-0.3200000000000001,-2.8799999999999994,0.6094,1.598,18.2,0.291,0.6439999999999999,0.4711999999999999,16.0904,16.22,0.5682,0.6103999999999999,1.0,0.1992,102.788,100.9,84.082,101.0,0.4841999999999999,0.4,1610612737.0,10.0,True,IND,2023-11-21
12,12,1610612737,22300039,"NOV 21, 2023",ATL,IND,False,6.0,7.0,0.462,240,57,95,0.6,15,31,0.484,23,28,0.821,12,27,39,28,8,4,15,23,152,2023-11-21,True,13.0,137.8,140.7,138.5,144.0,-0.8,-3.3,0.491,1.87,18.6,0.35,0.7,0.525,13.597,13.9,0.679,0.708,1.0,0.198,111.82,108.5,90.42,108,0.491,1,0.5326000000000001,44.2,86.6,0.51,13.8,34.8,0.398,21.2,25.6,0.8291999999999999,11.4,28.0,39.4,26.2,8.4,5.4,15.6,20.2,123.4,120.34,120.98,120.64,124.7,-0.3000000000000001,-3.7399999999999993,0.6002000000000001,1.7280000000000002,18.74,0.3014,0.661,0.4832000000000001,15.4826,15.54,0.5898000000000001,0.6298,1.0,0.1992,103.692,101.8,84.832,101.8,0.479,0.2,1610612737.0,11.0,True,BKN,2023-11-22
13,13,1610612737,22300227,"NOV 22, 2023",ATL,BKN,True,7.0,7.0,0.5,265,51,116,0.44,18,49,0.367,27,29,0.931,22,36,58,24,10,8,14,18,147,2023-11-22,True,14.0,121.7,126.7,123.3,125.0,-1.6,1.7,0.471,1.71,14.4,0.431,0.607,0.516,11.593,12.1,0.517,0.571,1.0,0.198,107.92,105.06,87.55,116,0.506,1,0.5214000000000001,46.8,92.4,0.5106,13.8,35.4,0.3932,23.6,27.8,0.8488,12.8,28.6,41.4,26.4,9.2,5.8,14.2,20.0,131.0,123.3,125.16,122.58,126.98,0.7,-1.8399999999999992,0.5734,1.86,18.34,0.3248,0.6234,0.479,13.484,13.68,0.5851999999999999,0.6292,1.0,0.1992,104.784,102.212,85.176,104.4,0.4926,0.4,1610612737.0,12.0,False,WAS,2023-11-25
14,14,1610612737,22300241,"NOV 25, 2023",ATL,WAS,True,8.0,7.0,0.533,240,52,102,0.51,18,37,0.486,14,20,0.7,17,32,49,29,13,2,9,15,136,2023-11-25,False,15.0,131.0,132.0,102.6,104.9,28.4,27.2,0.558,2.9,19.4,0.358,0.756,0.541,9.634,9.7,0.598,0.614,1.0,0.197,104.54,103.0,85.83,103,0.571,0,0.508,48.2,95.4,0.5092000000000001,15.0,36.2,0.4176,21.6,26.6,0.8042,14.2,28.8,43.0,26.6,10.0,4.8,13.2,19.2,133.0,124.9,127.32,119.82,124.66,5.06,2.6800000000000006,0.5606000000000001,2.04,18.24,0.3406,0.6384,0.4894,12.6774,12.919999999999998,0.5875999999999999,0.624,1.0,0.1984,105.136,102.112,85.092,104.2,0.5028,0.4,1610612737.0,13.0,False,BOS,2023-11-26
15,15,1610612737,22300246,"NOV 26, 2023",ATL,BOS,False,8.0,8.0,0.5,240,36,88,0.409,19,53,0.358,12,19,0.632,11,32,43,15,5,4,15,17,103,2023-11-26,False,16.0,101.6,104.0,114.4,114.1,-12.8,-10.1,0.417,0.94,11.8,0.25,0.623,0.431,15.785,16.2,0.517,0.534,1.0,0.196,100.08,99.0,82.5,99,0.396,0,0.499,47.2,98.0,0.4816,16.4,40.6,0.4117999999999999,20.0,25.2,0.7767999999999999,15.2,30.4,45.6,24.0,8.8,4.4,13.2,18.6,130.8,121.34,124.12,119.92,123.32,1.3999999999999992,0.8200000000000006,0.5074,1.8540000000000003,16.279999999999998,0.3538,0.6528,0.4974,12.691,13.0,0.5656000000000001,0.599,1.0,0.1978,105.424,102.81199999999998,85.676,105.0,0.4796,0.4,1610612737.0,14.0,False,CLE,2023-11-28
16,16,1610612737,22300055,"NOV 28, 2023",ATL,CLE,False,8.0,9.0,0.471,240,35,101,0.347,13,44,0.295,22,24,0.917,14,30,44,21,9,3,10,16,105,2023-11-28,False,17.0,96.7,101.9,121.4,124.3,-24.6,-22.3,0.6,1.91,14.6,0.313,0.682,0.459,10.133,10.7,0.411,0.471,1.0,0.197,107.02,103.0,85.83,103,0.366,1,0.4932,46.2,100.4,0.4612,16.6,42.8,0.398,19.6,24.0,0.8001999999999999,15.2,31.4,46.6,23.4,9.0,4.2,12.6,17.8,128.6,117.76,121.06,120.04,122.46,-2.280000000000001,-1.3599999999999994,0.5074,1.866,15.760000000000002,0.3404,0.6736,0.4944,12.1484,12.52,0.5444,0.5795999999999999,1.0,0.1972,106.276,103.712,86.426,105.8,0.466,0.4,1610612737.0,15.0,False,SAS,2023-11-30
17,17,1610612737,22300272,"NOV 30, 2023",ATL,SAS,True,9.0,9.0,0.5,240,49,96,0.51,14,33,0.424,25,29,0.862,8,29,37,24,14,2,10,25,137,2023-11-30,False,18.0,123.7,124.5,123.7,123.9,0.0,0.7,0.49,2.4,16.8,0.24,0.738,0.467,9.029,9.1,0.583,0.63,1.0,0.2,109.94,109.5,91.25,110,0.482,0,0.5007999999999999,44.6,100.6,0.4432,16.4,43.2,0.386,20.0,24.2,0.8084,14.4,31.8,46.2,22.6,10.2,3.8,11.6,18.2,125.6,114.94,117.82,117.08,118.44,-2.120000000000001,-0.5599999999999994,0.5072000000000001,1.972,15.4,0.3183999999999999,0.6812,0.4828,11.2348,11.56,0.5252,0.564,1.0,0.1976,105.9,103.912,86.59200000000001,106.2,0.4641999999999999,0.6,1610612737.0,16.0,False,MIL,2023-12-02
18,18,1610612737,22300286,"DEC 02, 2023",ATL,MIL,False,9.0,10.0,0.474,240,45,101,0.446,15,38,0.395,16,21,0.762,15,25,40,23,11,4,11,14,121,2023-12-02,False,19.0,113.9,116.3,127.4,126.9,-13.5,-10.6,0.511,2.09,15.9,0.328,0.763,0.5,10.354,10.6,0.52,0.549,1.0,0.2,104.92,104.0,86.67,104,0.427,0,0.4955999999999999,43.4,97.6,0.4444,15.8,41.0,0.3916,17.8,22.6,0.7746000000000001,13.0,29.6,42.6,22.4,10.4,3.0,11.0,17.4,120.4,113.38,115.74,117.9,118.82,-4.500000000000002,-3.02,0.5152,2.048,15.7,0.2978,0.7124,0.4796,10.987,11.26,0.5258,0.5596,1.0,0.198,105.3,103.7,86.416,103.8,0.4484,0.4,1610612737.0,17.0,True,BKN,2023-12-06
19,19,1610612737,22301209,"DEC 06, 2023",ATL,BKN,False,9.0,11.0,0.45,240,42,94,0.447,12,35,0.343,17,18,0.944,11,38,49,25,5,4,12,23,113,2023-12-06,True,20.0,108.7,109.7,109.0,109.6,-0.3,0.1,0.595,1.92,17.9,0.25,0.75,0.509,12.51,12.6,0.511,0.554,1.0,0.198,104.24,103.5,86.25,103,0.504,0,0.479,41.4,96.0,0.4317999999999999,14.6,40.6,0.363,18.4,22.2,0.8234,11.8,30.8,42.6,21.6,8.8,3.4,11.6,19.0,115.8,108.92,111.28,119.18000000000002,119.76000000000002,-10.24,-8.44,0.5226,1.852,15.4,0.2762,0.7112,0.4732,11.5622,11.84,0.5084,0.5476,1.0,0.1982,105.24,103.8,86.5,103.8,0.4349999999999999,0.2,1610612737.0,18.0,False,PHI,2023-12-08
20,20,1610612737,22301218,"DEC 08, 2023",ATL,PHI,False,9.0,12.0,0.429,240,41,104,0.394,13,39,0.333,19,21,0.905,23,32,55,20,3,4,13,23,114,2023-12-08,False,21.0,109.4,114.0,124.7,126.3,-15.3,-12.3,0.488,1.43,13.6,0.446,0.667,0.54,13.431,14.0,0.457,0.503,1.0,0.196,102.26,99.5,82.92,100,0.396,0,0.4648,42.4,99.2,0.4288,13.4,37.8,0.358,19.8,22.6,0.8780000000000001,14.2,30.8,45.0,22.6,8.4,3.4,11.2,20.2,118.0,110.48,113.28,121.24,122.2,-10.740000000000002,-8.879999999999999,0.5368,1.95,15.76,0.3154,0.72,0.495,11.091399999999998,11.4,0.4963999999999999,0.5414000000000001,1.0,0.1982,105.676,103.9,86.584,104.0,0.435,0.2,1610612737.0,19.0,True,DEN,2023-12-11
21,21,1610612737,22300296,"DEC 11, 2023",ATL,DEN,False,9.0,13.0,0.409,240,44,96,0.458,17,44,0.386,17,18,0.944,13,22,35,25,9,2,10,21,122,2023-12-11,True,22.0,120.9,123.2,125.5,130.3,-4.6,-7.1,0.568,2.5,18.0,0.321,0.585,0.436,9.909,10.1,0.547,0.587,1.0,0.2,101.84,99.0,82.5,99,0.437,0,0.4523999999999999,44.2,98.2,0.4509999999999999,14.2,37.8,0.3762,18.8,21.4,0.8834,14.0,29.2,43.2,23.4,8.4,3.2,11.2,21.2,121.4,115.32,117.54,122.06000000000002,123.4,-6.74,-5.839999999999999,0.5304,2.068,16.439999999999998,0.317,0.7006,0.4904,11.046600000000002,11.279999999999998,0.5236,0.5646,1.0,0.1988,104.64,103.1,85.918,103.2,0.4492,0.2,1610612737.0,20.0,False,TOR,2023-12-13
22,22,1610612737,22300313,"DEC 13, 2023",ATL,TOR,False,9.0,14.0,0.391,240,48,100,0.48,18,41,0.439,14,19,0.737,13,29,42,32,9,8,7,18,128,2023-12-13,False,23.0,125.0,125.5,130.4,133.7,-5.3,-8.2,0.667,4.57,21.7,0.273,0.721,0.469,6.839,6.9,0.57,0.591,1.0,0.199,102.96,101.5,84.58,102,0.463,1,0.4305999999999999,44.0,99.0,0.445,15.0,39.4,0.3792,16.6,19.4,0.8583999999999999,15.0,29.2,44.2,25.0,7.4,4.4,10.6,19.8,119.6,115.58,117.74,123.4,125.36,-7.8,-7.619999999999999,0.5658,2.502,17.419999999999998,0.3236,0.6971999999999999,0.4907999999999999,10.6086,10.84,0.521,0.5568000000000001,1.0,0.1986,103.244,101.5,84.584,101.6,0.4454000000000001,0.0,1610612737.0,21.0,False,TOR,2023-12-15
23,23,1610612737,22300330,"DEC 15, 2023",ATL,TOR,True,10.0,14.0,0.417,240,52,101,0.515,16,41,0.39,5,6,0.833,16,39,55,34,4,4,12,19,125,2023-12-15,False,24.0,123.0,123.8,105.1,104.0,17.9,19.8,0.654,2.43,22.4,0.38,0.932,0.638,13.774,13.9,0.594,0.603,1.0,0.196,100.32,100.5,83.75,101,0.577,0,0.4192,45.4,99.0,0.4588,15.2,40.0,0.3782,14.4,16.4,0.8726,15.2,32.0,47.2,27.2,6.0,4.4,10.8,20.8,120.4,117.4,119.24,118.94,120.78,-1.520000000000001,-1.5399999999999991,0.5944,2.57,18.72,0.3339999999999999,0.7310000000000001,0.5184,11.292599999999998,11.5,0.5358,0.5676,1.0,0.1978,102.324,100.8,84.0,101.0,0.4753999999999999,0.2,1610612737.0,22.0,False,CLE,2023-12-16
24,24,1610612737,22300336,"DEC 16, 2023",ATL,CLE,False,10.0,15.0,0.4,240,41,85,0.482,15,36,0.417,22,25,0.88,6,28,34,21,5,4,11,21,119,2023-12-16,False,25.0,117.8,122.7,126.2,130.9,-8.4,-8.2,0.512,1.91,16.4,0.261,0.547,0.414,10.891,11.3,0.571,0.62,1.0,0.2,100.8,97.0,80.83,97,0.449,1,0.4091999999999999,45.2,97.2,0.4657999999999999,15.8,40.2,0.393,15.4,17.8,0.8598000000000001,14.2,30.0,44.2,26.4,6.0,4.4,10.6,20.4,121.6,119.22,121.84,122.38,125.04,-3.140000000000001,-3.2,0.5778,2.568,18.42,0.3362,0.6904,0.4993999999999999,10.9688,11.24,0.5478,0.5808,1.0,0.1982,101.636,99.5,82.91600000000001,99.8,0.4644,0.2,1610612737.0,23.0,True,DET,2023-12-18
25,25,1610612737,22300352,"DEC 18, 2023",ATL,DET,True,11.0,15.0,0.423,240,46,85,0.541,16,36,0.444,22,27,0.815,11,29,40,25,6,10,17,24,130,2023-12-18,True,26.0,125.1,126.2,116.0,120.4,9.1,5.8,0.543,1.39,17.9,0.317,0.66,0.505,17.328,17.5,0.635,0.671,1.0,0.197,105.38,103.0,85.83,103,0.553,1,0.408,46.2,93.4,0.4952,16.4,39.6,0.4152,16.0,19.0,0.8417999999999999,11.8,29.4,41.2,27.4,6.6,5.6,11.4,20.6,124.8,122.36,124.28,120.64,123.86,1.739999999999999,0.4200000000000008,0.5888,2.56,19.28,0.3104,0.6890000000000001,0.4923999999999999,11.7482,11.94,0.5833999999999999,0.6144000000000001,1.0,0.1984,102.26,100.2,83.498,100.4,0.4958,0.4,1610612737.0,24.0,False,HOU,2023-12-20
26,26,1610612737,22300371,"DEC 20, 2023",ATL,HOU,True,12.0,15.0,0.444,240,47,91,0.516,17,40,0.425,23,28,0.821,12,32,44,31,4,3,9,18,134,2023-12-20,False,27.0,129.7,135.4,126.8,128.3,2.8,7.1,0.66,2.58,21.2,0.362,0.756,0.554,11.614,12.1,0.61,0.648,1.0,0.193,101.72,99.0,82.5,99,0.53,0,0.415,46.8,92.4,0.5068,16.4,38.8,0.423,17.2,21.0,0.8172,11.6,31.4,43.0,28.6,5.6,5.8,11.2,20.0,127.2,124.11999999999998,126.72,120.9,123.46,3.219999999999999,3.2600000000000007,0.6072000000000001,2.576,19.92,0.3186,0.7232000000000001,0.516,12.0892,12.34,0.596,0.6266,1.0,0.197,102.236,100.2,83.498,100.4,0.5144,0.6,1610612737.0,25.0,False,MIA,2023-12-22
27,27,1610612737,22300384,"DEC 22, 2023",ATL,MIA,False,12.0,16.0,0.429,240,42,96,0.438,19,54,0.352,10,14,0.714,12,31,43,29,9,2,13,23,113,2023-12-22,False,28.0,108.5,111.9,117.1,122.0,-8.6,-10.1,0.69,2.07,20.0,0.304,0.673,0.476,13.441,13.9,0.536,0.553,1.0,0.198,104.18,100.5,83.75,101,0.468,0,0.4226,45.6,91.6,0.4984,16.6,41.4,0.4056,16.4,20.0,0.8126,11.4,31.8,43.2,28.0,5.6,4.6,12.4,21.0,124.2,120.81999999999998,124.0,118.24,121.12,2.56,2.8800000000000003,0.6118,2.076,19.58,0.3248,0.7136000000000001,0.5174000000000001,13.4096,13.74,0.5892000000000001,0.619,1.0,0.1968,102.48,100.0,83.33200000000001,100.2,0.5154,0.6,1610612737.0,26.0,True,MEM,2023-12-23
28,28,1610612737,22300393,"DEC 23, 2023",ATL,MEM,False,12.0,17.0,0.414,240,45,96,0.469,13,43,0.302,16,20,0.8,13,28,41,28,8,5,10,22,119,2023-12-23,True,29.0,115.8,119.0,120.6,125.0,-4.8,-6.0,0.622,2.55,19.5,0.315,0.612,0.456,10.7,11.0,0.536,0.568,1.0,0.197,103.24,100.0,83.33,100,0.456,2,0.422,44.2,90.6,0.4892,16.0,41.8,0.388,18.6,22.8,0.806,10.8,29.6,40.4,26.8,6.4,4.8,12.0,21.6,123.0,119.38,123.04,121.34,125.32,-1.9800000000000004,-2.28,0.6054,2.1,19.0,0.3118,0.6496,0.481,12.7948,13.16,0.5776000000000001,0.612,1.0,0.197,103.064,99.9,83.248,100.0,0.4911999999999999,0.4,1610612737.0,27.0,False,CHI,2023-12-26
33,33,1610612738,22300136,"NOV 04, 2023",BOS,BKN,True,5.0,0.0,1.0,240,43,90,0.478,15,45,0.333,23,27,0.852,10,40,50,22,4,6,11,17,124,2023-11-04,False,5.0,120.5,124.0,110.2,114.0,10.4,10.0,0.512,2.0,16.3,0.3,0.746,0.541,10.692,11.0,0.561,0.609,1.0,0.2,103.18,100.0,83.33,100,0.571,0,1.0,46.0,91.8,0.5002,16.4,42.2,0.396,18.0,21.4,0.8119999999999999,11.8,40.0,51.8,23.6,6.6,6.2,13.4,19.6,126.4,121.92,124.32,104.8,106.68,17.1,17.64,0.51,1.702,16.860000000000003,0.3208,0.7442,0.5529999999999999,13.5314,13.78,0.5888,0.6235999999999999,1.0,0.1986,103.284,101.4,84.502,101.4,0.5820000000000001,1.0,1610612738.0,3.0,False,MIN,2023-11-06
34,34,1610612738,22300154,"NOV 06, 2023",BOS,MIN,False,5.0,1.0,0.833,265,36,92,0.391,11,39,0.282,26,34,0.765,11,34,45,20,13,2,16,26,109,2023-11-06,False,6.0,95.6,98.2,100.0,102.7,-4.4,-4.5,0.556,1.11,13.8,0.305,0.776,0.519,15.795,16.2,0.451,0.51,1.0,0.198,103.23,100.53,83.77,111,0.457,0,0.9666,45.8,94.8,0.4822,16.2,42.2,0.3907999999999999,18.8,23.0,0.7958000000000001,12.6,39.0,51.6,24.0,8.0,4.4,14.0,20.4,126.6,118.16,121.46,104.5,105.78,13.66,15.68,0.524,1.648,16.6,0.3476,0.7722,0.5651999999999999,13.9374,14.32,0.5674,0.6033999999999999,1.0,0.198,104.242,102.206,85.172,104.4,0.5549999999999999,0.8,1610612738.0,4.0,False,PHI,2023-11-08
35,35,1610612738,22300159,"NOV 08, 2023",BOS,PHI,False,5.0,2.0,0.714,240,36,91,0.396,15,47,0.319,16,19,0.842,9,34,43,28,8,6,12,13,103,2023-11-08,False,7.0,99.7,100.0,102.3,103.9,-2.7,-3.9,0.778,2.15,19.9,0.214,0.722,0.464,12.577,12.6,0.478,0.518,1.0,0.198,103.48,102.5,85.42,103,0.487,1,0.9094,44.0,94.0,0.4665999999999999,16.0,43.8,0.3726,19.4,23.0,0.8273999999999999,11.2,38.0,49.2,25.6,8.2,4.4,13.4,19.2,123.4,114.84,117.66,102.78000000000002,104.14,12.039999999999996,13.52,0.5908,1.812,17.68,0.3139999999999999,0.7627999999999999,0.5439999999999999,13.522,13.84,0.5514,0.5918,1.0,0.1978,104.69,102.806,85.672,105.0,0.5508,0.6,1610612738.0,5.0,True,BKN,2023-11-10
36,36,1610612738,22300010,"NOV 10, 2023",BOS,BKN,True,6.0,2.0,0.75,240,41,94,0.436,19,52,0.365,20,28,0.714,17,35,52,29,5,3,7,13,121,2023-11-10,True,8.0,124.3,126.0,111.6,109.2,12.8,16.9,0.707,3.63,20.2,0.333,0.766,0.529,8.22,8.3,0.537,0.569,1.0,0.198,96.62,97.0,80.83,96,0.567,1,0.8593999999999999,42.0,92.4,0.4537999999999999,16.0,43.6,0.374,22.4,27.2,0.8274000000000001,11.6,37.8,49.4,25.2,7.0,3.8,11.4,17.6,122.4,116.38,118.62,104.2,105.4,12.18,13.24,0.6106,2.194,17.7,0.3036,0.767,0.5372,11.8352,12.04,0.5402,0.5856,1.0,0.198,102.96200000000002,101.406,84.50399999999999,103.4,0.5528000000000001,0.6,1610612738.0,6.0,True,TOR,2023-11-11
37,37,1610612738,22300174,"NOV 11, 2023",BOS,TOR,True,7.0,2.0,0.778,240,47,86,0.547,15,44,0.341,8,13,0.615,5,41,46,30,1,4,12,14,117,2023-11-11,True,9.0,117.3,121.9,94.0,95.9,23.4,26.0,0.638,2.31,22.3,0.186,0.776,0.525,13.037,13.5,0.634,0.638,1.0,0.197,99.88,97.0,80.83,96,0.605,1,0.8150000000000001,40.6,90.6,0.4496,15.0,45.4,0.3279999999999999,18.6,24.2,0.7575999999999999,10.4,36.8,47.2,25.8,6.2,4.2,11.6,16.6,114.8,111.48,114.02,103.62,105.14,7.9,8.9,0.6382,2.24,18.5,0.2676,0.7572,0.5156000000000001,12.0642,12.32,0.5322,0.5688,1.0,0.1982,101.278,99.406,82.836,101.2,0.5374000000000001,0.6,1610612738.0,7.0,True,NYK,2023-11-13
38,38,1610612738,22300188,"NOV 13, 2023",BOS,NYK,True,8.0,2.0,0.8,240,40,79,0.506,19,43,0.442,15,16,0.938,8,29,37,27,3,3,11,22,114,2023-11-13,True,10.0,128.0,129.5,109.4,115.3,18.6,14.3,0.675,2.45,21.8,0.282,0.646,0.483,12.354,12.5,0.627,0.662,1.0,0.196,89.3,86.5,72.08,88,0.598,1,0.775,40.0,88.4,0.4551999999999999,15.8,45.0,0.3498,17.0,22.0,0.7747999999999999,10.0,34.6,44.6,26.8,6.0,3.6,11.6,17.6,112.8,112.98,115.12,103.46,105.4,9.54,9.76,0.6708000000000001,2.33,19.6,0.2639999999999999,0.7372,0.5039999999999999,12.3966,12.62,0.5454,0.5794,1.0,0.1974,98.502,96.706,80.586,98.8,0.5428,0.6,1610612738.0,8.0,False,PHI,2023-11-15
