actual,prediction,game_id,team_id
2,0,22300551,1610612766
2,1,22300552,1610612749
2,1,22300553,1610612750
2,0,22300554,1610612757
2,0,22300559,1610612737
2,1,22300563,1610612738
2,1,22300561,1610612739
2,0,22300556,1610612742
2,0,22300558,1610612765
2,0,22300560,1610612744
2,0,22300555,1610612745
2,0,22300564,1610612754
2,1,22300565,1610612747
2,1,22300562,1610612748
2,1,22300556,1610612740
2,1,22300557,1610612752
2,1,22300562,1610612751
2,1,22300557,1610612753
2,0,22300563,1610612761
2,1,22300564,1610612762
2,0,22300559,1610612759
2,1,22300567,1610612758
